symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
V,Visa Inc.,Financial Services,Credit Services,0.1505,1.0681,0.884,0.5,0.5,0.485,-5.98,4.93,14.52,8,A,0,43.6416,329.89,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.7,0.5,0.562
TSM,Taiwan Semiconductor S.A.,Technology,Semiconductors,0.1505,0.8527,0.612,0.5,0.7,0.485,26.42,45.11,26.29,6,B,0,54.37012,292.515,27.05,17.3,0.24,2.36,56.12,45.68,39.99,33.0,27424770697.0,92169228706.0,36861348595.0,0.7,0.42,0.535
PG,Procter & Gamble,Consumer Defensive,Household & Personal Products,0.1495,0.4988,0.351,0.5,0.38,0.485,-8.92,-13.21,16.78,4,C,0,37.7938,144.06,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.7,0.415,0.533
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.1334,0.947,0.791,0.5,0.5,0.485,-2.91,17.22,21.41,7,B,0,44.90577,490.66,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.7,0.46,0.548
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.1219,0.528,0.376,0.5,0.28,0.485,-18.85,-30.66,24.55,4,C,0,30.33997,39.05,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0,0.7,0.46,0.548
ADBE,Adobe Inc.,Technology,Software - Application,0.1133,0.5705,0.364,0.5,0.5,0.485,-7.74,-27.09,26.14,4,C,0,42.63636,321.54,39.42,18.39,0.43,1.07,89.04,36.0,25.85,0.85,7873000000.0,21505000000.0,5560000000.0,0.7,0.42,0.535
ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,0.0938,0.7062,0.493,0.5,0.58,0.485,49.66,57.44,34.02,4,C,0,64.1255,1102.75,40.98,15.58,0.25,1.53,51.28,31.92,26.79,7.31,10535760183.0,32782985596.0,8782525988.0,0.7,0.42,0.535
NVDA,NVIDIA Corp.,Technology,Semiconductors,0.0309,0.8981,0.8,0.5,0.65,0.485,7.91,33.11,41.86,8,A,0,48.73576,184.11,91.87,65.3,0.13,4.44,74.99,62.42,55.85,2.48,60853000000.0,130497000000.0,72880000000.0,0.7,0.36,0.515
LULU,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,0.0296,0.4491,0.599,0.5,0.38,0.445,-8.64,-51.28,35.47,4,C,0,60.64874,181.38,41.97,23.87,0.36,2.16,59.22,23.67,17.14,6.51,1583481000.0,10588126000.0,1814616000.0,0.7,0.36,0.502
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.0268,0.7406,0.538,0.5,0.58,0.485,37.51,67.44,34.48,5,C,0,69.30395,317.175,30.8,22.24,0.08,1.84,58.2,32.11,28.6,15.01,72764000000.0,350018000000.0,100118000000.0,0.7,0.42,0.535
